callsign,status,licence_class
20BAQ,Reserved,Amateur Intermediate Radio Licence
20BAR,Reserved,Amateur Intermediate Radio Licence
20BAS,Allocated,Amateur Intermediate Radio Licence
20BAT,Reserved,Amateur Intermediate Radio Licence
20BAU,Allocated,Amateur Intermediate Radio Licence
20BAV,Allocated,Amateur Intermediate Radio Licence
20BAW,Allocated,Amateur Intermediate Radio Licence
20BAX,Allocated,Amateur Intermediate Radio Licence
20BAY,Allocated,Amateur Intermediate Radio Licence
20BAZ,Reserved,Amateur Intermediate Radio Licence
20BBA,Allocated,Amateur Intermediate Radio Licence
20BBB,Allocated,Amateur Intermediate Radio Licence
20BBC,Allocated,Amateur Intermediate Radio Licence
20BBD,Allocated,Amateur Intermediate Radio Licence
20BBE,Reserved,Amateur Intermediate Radio Licence
20BBF,Reserved,Amateur Intermediate Radio Licence
20BBG,Allocated,Amateur Intermediate Radio Licence
20BBH,Reserved,Amateur Intermediate Radio Licence
20BBI,Allocated,Amateur Intermediate Radio Licence
20BBJ,Reserved,Amateur Intermediate Radio Licence
20BBK,Reserved,Amateur Intermediate Radio Licence
20BBL,Allocated,Amateur Intermediate Radio Licence
20BBM,Allocated,Amateur Intermediate Radio Licence
20BBN,Allocated,Amateur Intermediate Radio Licence
20BBO,Allocated,Amateur Intermediate Radio Licence
20BBP,Allocated,Amateur Intermediate Radio Licence
20BBQ,Allocated,Amateur Intermediate Radio Licence
20BBR,Reserved,Amateur Intermediate Radio Licence
20BBS,Allocated,Amateur Intermediate Radio Licence
20BBT,Allocated,Amateur Intermediate Radio Licence
20BBU,Reserved,Amateur Intermediate Radio Licence
20BBV,Allocated,Amateur Intermediate Radio Licence
20BBW,Reserved,Amateur Intermediate Radio Licence
20BBX,Allocated,Amateur Intermediate Radio Licence
20BBY,Allocated,Amateur Intermediate Radio Licence
20BBZ,Allocated,Amateur Intermediate Radio Licence
20BCA,Allocated,Amateur Intermediate Radio Licence
20BCB,Allocated,Amateur Intermediate Radio Licence
20BCC,Reserved,Amateur Intermediate Radio Licence
20BCD,Allocated,Amateur Intermediate Radio Licence
20BCE,Allocated,Amateur Intermediate Radio Licence
20BCF,Allocated,Amateur Intermediate Radio Licence
20BCG,Allocated,Amateur Intermediate Radio Licence
20BCH,Reserved,Amateur Intermediate Radio Licence
20BCI,Allocated,Amateur Intermediate Radio Licence
20BCJ,Allocated,Amateur Intermediate Radio Licence
20BCK,Allocated,Amateur Intermediate Radio Licence
20BCL,Allocated,Amateur Intermediate Radio Licence
