Value__c,Product__c,Status__c,Type__c
M7KAX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7UAS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NMJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7EEI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TFX,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7GTC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0SNZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7HEG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G3RIE,,Allocated,Call Sign - Amateur
M0KFG,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20IJE,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
21KLW,,Reserved,Call Sign - Amateur
20WFL,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7EEJ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7XJD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20XNB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7FTE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7RGD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TAZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7STR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TLA,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20XRJ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7XFH,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G0DXH,,Allocated,Call Sign - Amateur
G8APF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
M7ECZ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EMQ,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7AJL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G1GMQ,,Allocated,Call Sign - Amateur
M7BMR,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EAI,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JRS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JAF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7KJB,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HKE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7FJE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20IXG,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7ART,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20IUV,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7XAS,Amateur Foundation Radio Licence,Available,Call Sign - Amateur
M7XJN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20SZA,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7XFD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G5PEN,,Allocated,Call Sign - Amateur
M0KZO,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
G8KIJ,,Allocated,Call Sign - Amateur
20PZD,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7FOV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7VTD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20WTM,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7OAN,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JOG,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20NDC,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7ECE,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TXC,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EAP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7EAK,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7JHD,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
G6RHT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur
20HVB,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7RRL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7HJO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7CCL,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M0NWX,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
M0UNM,Amateur Club Radio Licence,Allocated,Call Sign - Amateur
20LUP,Amateur Intermediate Radio Licence,Reserved,Call Sign - Amateur
M7FGO,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7NRP,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
20YBQ,Amateur Intermediate Radio Licence,Allocated,Call Sign - Amateur
M7PLF,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7DQV,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
M7TNS,Amateur Foundation Radio Licence,Allocated,Call Sign - Amateur
