Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag
M,6,GFJ,M6GFJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GFV,M6GFV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GFZ,M6GFZ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGF,M6GGF,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGI,M6GGI,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGJ,M6GGJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGK,M6GGK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGL,M6GGL,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGN,M6GGN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGO,M6GGO,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGQ,M6GGQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGR,M6GGR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGU,M6GGU,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GGX,M6GGX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHA,M6GHA,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHC,M6GHC,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHH,M6GHH,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHJ,M6GHJ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHK,M6GHK,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHN,M6GHN,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHQ,M6GHQ,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHR,M6GHR,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHS,M6GHS,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHV,M6GHV,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHX,M6GHX,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GHY,M6GHY,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GID,M6GID,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GII,M6GII,Call Sign,Amateur Foundation Radio Licence,Available,N
M,6,GIJ,M6GIJ,Call Sign,Amateur Foundation Radio Licence,Available,N
