callsign,status,licence_class,suffix
M6FSL,Available,Amateur Foundation Radio Licence,FSL
M6FSN,Available,Amateur Foundation Radio Licence,FSN
M6FSO,Available,Amateur Foundation Radio Licence,FSO
M6FSQ,Available,Amateur Foundation Radio Licence,FSQ
M6FSS,Available,Amateur Foundation Radio Licence,FSS
M6FSU,Available,Amateur Foundation Radio Licence,FSU
M6FSV,Available,Amateur Foundation Radio Licence,FSV
M6FSW,Available,Amateur Foundation Radio Licence,FSW
M6FSY,Available,Amateur Foundation Radio Licence,FSY
M6FSZ,Available,Amateur Foundation Radio Licence,FSZ
M6FTA,Available,Amateur Foundation Radio Licence,FTA
M6FTB,Available,Amateur Foundation Radio Licence,FTB
M6FTC,Available,Amateur Foundation Radio Licence,FTC
M6FTE,Available,Amateur Foundation Radio Licence,FTE
M6FTH,Available,Amateur Foundation Radio Licence,FTH
M6FTI,Available,Amateur Foundation Radio Licence,FTI
M6FTQ,Available,Amateur Foundation Radio Licence,FTQ
M6FTR,Available,Amateur Foundation Radio Licence,FTR
M6FTT,Available,Amateur Foundation Radio Licence,FTT
M6FTU,Available,Amateur Foundation Radio Licence,FTU
M6FUD,Available,Amateur Foundation Radio Licence,FUD
M6FUE,Available,Amateur Foundation Radio Licence,FUE
M6FUF,Available,Amateur Foundation Radio Licence,FUF
M6FUG,Available,Amateur Foundation Radio Licence,FUG
M6FUH,Available,Amateur Foundation Radio Licence,FUH
M6FUI,Available,Amateur Foundation Radio Licence,FUI
M6FUJ,Available,Amateur Foundation Radio Licence,FUJ
M6FUL,Available,Amateur Foundation Radio Licence,FUL
M6FUM,Available,Amateur Foundation Radio Licence,FUM
M6FUP,Available,Amateur Foundation Radio Licence,FUP
M6FUQ,Available,Amateur Foundation Radio Licence,FUQ
M6FUT,Available,Amateur Foundation Radio Licence,FUT
M6FUV,Available,Amateur Foundation Radio Licence,FUV
M6FUW,Available,Amateur Foundation Radio Licence,FUW
M6FUY,Available,Amateur Foundation Radio Licence,FUY
M6FVA,Available,Amateur Foundation Radio Licence,FVA
M6FVB,Available,Amateur Foundation Radio Licence,FVB
M6FVC,Available,Amateur Foundation Radio Licence,FVC
M6FVD,Available,Amateur Foundation Radio Licence,FVD
M6FVE,Available,Amateur Foundation Radio Licence,FVE
M6FVF,Available,Amateur Foundation Radio Licence,FVF
M6FVG,Available,Amateur Foundation Radio Licence,FVG
M6FVH,Available,Amateur Foundation Radio Licence,FVH
M6FVI,Available,Amateur Foundation Radio Licence,FVI
M6FVJ,Available,Amateur Foundation Radio Licence,FVJ
M6FVK,Available,Amateur Foundation Radio Licence,FVK
M6FVL,Available,Amateur Foundation Radio Licence,FVL
M6FVM,Available,Amateur Foundation Radio Licence,FVM
M6FVN,Available,Amateur Foundation Radio Licence,FVN
M6FVO,Available,Amateur Foundation Radio Licence,FVO
M6FVP,Available,Amateur Foundation Radio Licence,FVP
M6FVQ,Available,Amateur Foundation Radio Licence,FVQ
M6FVR,Available,Amateur Foundation Radio Licence,FVR
M6FVT,Available,Amateur Foundation Radio Licence,FVT
M6FVU,Available,Amateur Foundation Radio Licence,FVU
M6FVV,Available,Amateur Foundation Radio Licence,FVV
M6FVW,Available,Amateur Foundation Radio Licence,FVW
M6FVX,Available,Amateur Foundation Radio Licence,FVX
M6FVZ,Available,Amateur Foundation Radio Licence,FVZ
M6FWB,Available,Amateur Foundation Radio Licence,FWB
M6FWC,Available,Amateur Foundation Radio Licence,FWC
M6FWD,Available,Amateur Foundation Radio Licence,FWD
M6FWG,Available,Amateur Foundation Radio Licence,FWG
M6FWH,Available,Amateur Foundation Radio Licence,FWH
M6FWI,Available,Amateur Foundation Radio Licence,FWI
M6FWJ,Available,Amateur Foundation Radio Licence,FWJ
M6FWL,Available,Amateur Foundation Radio Licence,FWL
M6FWM,Available,Amateur Foundation Radio Licence,FWM
M6FWN,Available,Amateur Foundation Radio Licence,FWN
M6FWO,Available,Amateur Foundation Radio Licence,FWO
M6FWP,Available,Amateur Foundation Radio Licence,FWP
M6FWQ,Available,Amateur Foundation Radio Licence,FWQ
M6FWT,Available,Amateur Foundation Radio Licence,FWT
M6FWU,Available,Amateur Foundation Radio Licence,FWU
M6FWV,Available,Amateur Foundation Radio Licence,FWV
M6FWW,Available,Amateur Foundation Radio Licence,FWW
M6FWX,Available,Amateur Foundation Radio Licence,FWX
M6FWZ,Available,Amateur Foundation Radio Licence,FWZ
M6FXA,Available,Amateur Foundation Radio Licence,FXA
M6FXC,Available,Amateur Foundation Radio Licence,FXC
M6FXD,Available,Amateur Foundation Radio Licence,FXD
M6FXE,Available,Amateur Foundation Radio Licence,FXE
M6FXG,Available,Amateur Foundation Radio Licence,FXG
M6FXH,Available,Amateur Foundation Radio Licence,FXH
M6FXI,Available,Amateur Foundation Radio Licence,FXI
M6FXJ,Available,Amateur Foundation Radio Licence,FXJ
M6FXK,Available,Amateur Foundation Radio Licence,FXK
M6FXL,Available,Amateur Foundation Radio Licence,FXL
M6FXM,Available,Amateur Foundation Radio Licence,FXM
M6FXN,Available,Amateur Foundation Radio Licence,FXN
M6FXO,Available,Amateur Foundation Radio Licence,FXO
M6FXP,Available,Amateur Foundation Radio Licence,FXP
M6FXQ,Available,Amateur Foundation Radio Licence,FXQ
M6FXS,Available,Amateur Foundation Radio Licence,FXS
M6FXU,Available,Amateur Foundation Radio Licence,FXU
M6FXV,Available,Amateur Foundation Radio Licence,FXV
M6FXW,Available,Amateur Foundation Radio Licence,FXW
