callsign,status,licence_class,suffix
M0IQP,Available,Amateur Full Radio Licence,IQP
M0IQQ,Available,Amateur Full Radio Licence,IQQ
M0IQR,Available,Amateur Full Radio Licence,IQR
M0IQS,Available,Amateur Full Radio Licence,IQS
M0IQT,Available,Amateur Full Radio Licence,IQT
M0IQU,Available,Amateur Full Radio Licence,IQU
M0IQV,Available,Amateur Full Radio Licence,IQV
M0IQW,Available,Amateur Full Radio Licence,IQW
M0IQY,Available,Amateur Full Radio Licence,IQY
M0IQZ,Available,Amateur Full Radio Licence,IQZ
M0IRB,Available,Amateur Full Radio Licence,IRB
M0IRF,Available,Amateur Full Radio Licence,IRF
M0IRG,Available,Amateur Full Radio Licence,IRG
M0IRH,Available,Amateur Full Radio Licence,IRH
M0IRO,Available,Amateur Full Radio Licence,IRO
M0IRR,Available,Amateur Full Radio Licence,IRR
M0IRS,Available,Amateur Full Radio Licence,IRS
M0IRU,Available,Amateur Full Radio Licence,IRU
M0IRV,Available,Amateur Full Radio Licence,IRV
M0IRW,Available,Amateur Full Radio Licence,IRW
M0IRX,Available,Amateur Full Radio Licence,IRX
M0IRY,Available,Amateur Full Radio Licence,IRY
M0ISA,Available,Amateur Full Radio Licence,ISA
M0ISB,Available,Amateur Full Radio Licence,ISB
M0ISC,Available,Amateur Full Radio Licence,ISC
M0ISE,Available,Amateur Full Radio Licence,ISE
M0ISG,Available,Amateur Full Radio Licence,ISG
M0ISH,Available,Amateur Full Radio Licence,ISH
M0ISI,Available,Amateur Full Radio Licence,ISI
M0ISJ,Available,Amateur Full Radio Licence,ISJ
M0ISK,Available,Amateur Full Radio Licence,ISK
M0ISR,Available,Amateur Full Radio Licence,ISR
M0ISU,Available,Amateur Full Radio Licence,ISU
M0ISV,Available,Amateur Full Radio Licence,ISV
M0ISX,Available,Amateur Full Radio Licence,ISX
M0ISY,Available,Amateur Full Radio Licence,ISY
M0ISZ,Available,Amateur Full Radio Licence,ISZ
M0ITB,Available,Amateur Full Radio Licence,ITB
M0ITD,Available,Amateur Full Radio Licence,ITD
M0ITG,Available,Amateur Full Radio Licence,ITG
M0ITJ,Available,Amateur Full Radio Licence,ITJ
M0ITK,Available,Amateur Full Radio Licence,ITK
M0ITL,Available,Amateur Full Radio Licence,ITL
M0ITN,Available,Amateur Full Radio Licence,ITN
M0ITO,Available,Amateur Full Radio Licence,ITO
M0ITP,Available,Amateur Full Radio Licence,ITP
M0ITQ,Available,Amateur Full Radio Licence,ITQ
M0ITR,Available,Amateur Full Radio Licence,ITR
