callsign,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20AVA,parsed,2#0,,AVA,2#0AVA,,Intermediate,missing-rsl
20AVB,parsed,2#0,,AVB,2#0AVB,,Intermediate,missing-rsl
20AVD,parsed,2#0,,AVD,2#0AVD,,Intermediate,missing-rsl
20AVK,parsed,2#0,,AVK,2#0AVK,,Intermediate,missing-rsl
20AVL,parsed,2#0,,AVL,2#0AVL,,Intermediate,missing-rsl
20AVP,parsed,2#0,,AVP,2#0AVP,,Intermediate,missing-rsl
20AVQ,parsed,2#0,,AVQ,2#0AVQ,,Intermediate,missing-rsl
20AVS,parsed,2#0,,AVS,2#0AVS,,Intermediate,missing-rsl
20AVW,parsed,2#0,,AVW,2#0AVW,,Intermediate,missing-rsl
20AVZ,parsed,2#0,,AVZ,2#0AVZ,,Intermediate,missing-rsl
20AWA,parsed,2#0,,AWA,2#0AWA,,Intermediate,missing-rsl
20AWC,parsed,2#0,,AWC,2#0AWC,,Intermediate,missing-rsl
20AWE,parsed,2#0,,AWE,2#0AWE,,Intermediate,missing-rsl
20AWF,parsed,2#0,,AWF,2#0AWF,,Intermediate,missing-rsl
20AWG,parsed,2#0,,AWG,2#0AWG,,Intermediate,missing-rsl
20AWI,parsed,2#0,,AWI,2#0AWI,,Intermediate,missing-rsl
20AWK,parsed,2#0,,AWK,2#0AWK,,Intermediate,missing-rsl
20AWL,parsed,2#0,,AWL,2#0AWL,,Intermediate,missing-rsl
20AWM,parsed,2#0,,AWM,2#0AWM,,Intermediate,missing-rsl
20AWN,parsed,2#0,,AWN,2#0AWN,,Intermediate,missing-rsl
20AWO,parsed,2#0,,AWO,2#0AWO,,Intermediate,missing-rsl
20AWP,parsed,2#0,,AWP,2#0AWP,,Intermediate,missing-rsl
20AWR,parsed,2#0,,AWR,2#0AWR,,Intermediate,missing-rsl
20AWS,parsed,2#0,,AWS,2#0AWS,,Intermediate,missing-rsl
20AWT,parsed,2#0,,AWT,2#0AWT,,Intermediate,missing-rsl
20AWU,parsed,2#0,,AWU,2#0AWU,,Intermediate,missing-rsl
20AWW,parsed,2#0,,AWW,2#0AWW,,Intermediate,missing-rsl
20AWY,parsed,2#0,,AWY,2#0AWY,,Intermediate,missing-rsl
20AWZ,parsed,2#0,,AWZ,2#0AWZ,,Intermediate,missing-rsl
20AXA,parsed,2#0,,AXA,2#0AXA,,Intermediate,missing-rsl
20AXB,parsed,2#0,,AXB,2#0AXB,,Intermediate,missing-rsl
20AXG,parsed,2#0,,AXG,2#0AXG,,Intermediate,missing-rsl
20AXN,parsed,2#0,,AXN,2#0AXN,,Intermediate,missing-rsl
20AXT,parsed,2#0,,AXT,2#0AXT,,Intermediate,missing-rsl
20AXX,parsed,2#0,,AXX,2#0AXX,,Intermediate,missing-rsl
20AXZ,parsed,2#0,,AXZ,2#0AXZ,,Intermediate,missing-rsl
20AYA,parsed,2#0,,AYA,2#0AYA,,Intermediate,missing-rsl
20AYD,parsed,2#0,,AYD,2#0AYD,,Intermediate,missing-rsl
20AYI,parsed,2#0,,AYI,2#0AYI,,Intermediate,missing-rsl
20AYK,parsed,2#0,,AYK,2#0AYK,,Intermediate,missing-rsl
20AYQ,parsed,2#0,,AYQ,2#0AYQ,,Intermediate,missing-rsl
20AYR,parsed,2#0,,AYR,2#0AYR,,Intermediate,missing-rsl
20AYT,parsed,2#0,,AYT,2#0AYT,,Intermediate,missing-rsl
20AYU,parsed,2#0,,AYU,2#0AYU,,Intermediate,missing-rsl
20AYW,parsed,2#0,,AYW,2#0AYW,,Intermediate,missing-rsl
20AYX,parsed,2#0,,AYX,2#0AYX,,Intermediate,missing-rsl
20AYY,parsed,2#0,,AYY,2#0AYY,,Intermediate,missing-rsl
20AYZ,parsed,2#0,,AYZ,2#0AYZ,,Intermediate,missing-rsl
20AZA,parsed,2#0,,AZA,2#0AZA,,Intermediate,missing-rsl
20AZB,parsed,2#0,,AZB,2#0AZB,,Intermediate,missing-rsl
20AZC,parsed,2#0,,AZC,2#0AZC,,Intermediate,missing-rsl
