Value,Status,Type,Reserved to Date,Original Start Date,Licence Type
M7CLT,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6YON,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
20FYZ,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Intermediate Radio Licence
M6VBF,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7KNJ,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6VEB,Reserved,Call Sign - Amateur,,,
M7JOE,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6GHZ,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7RCT,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6CGI,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7DCF,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6HCP,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7CAT,Allocated,Call Sign - Amateur,,2018-11-24,Amateur Foundation Radio Licence
M6DFV,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M7AGJ,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6ECK,Allocated,Call Sign - Amateur,,2012-04-04,Amateur Foundation Radio Licence
M0IXF,Allocated,Call Sign - Amateur,,2019-05-28,Amateur Full Radio Licence
M6IRV,Allocated,Call Sign - Amateur,,2012-04-06,Amateur Foundation Radio Licence
M7FKW,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6FMC,Allocated,Call Sign - Amateur,,2012-04-07,Amateur Foundation Radio Licence
M7HYP,Allocated,Call Sign - Amateur,,2019-10-02,Amateur Foundation Radio Licence
M6PRC,Allocated,Call Sign - Amateur,,2012-04-07,Amateur Foundation Radio Licence
20VVB,Allocated,Call Sign - Amateur,,2019-07-05,Amateur Intermediate Radio Licence
M6VER,Allocated,Call Sign - Amateur,,2012-04-08,Amateur Foundation Radio Licence
M7WCW,Allocated,Call Sign - Amateur,,2019-07-17,Amateur Foundation Radio Licence
M6BPZ,Allocated,Call Sign - Amateur,,2012-04-08,Amateur Foundation Radio Licence
M7BAQ,Allocated,Call Sign - Amateur,,2020-09-08,Amateur Foundation Radio Licence
M6BQA,Allocated,Call Sign - Amateur,,2012-04-09,Amateur Foundation Radio Licence
M0JIF,Allocated,Call Sign - Amateur,,2020-11-02,Amateur Full Radio Licence
M6JBQ,Allocated,Call Sign - Amateur,,2012-04-09,Amateur Foundation Radio Licence
M7PLS,Allocated,Call Sign - Amateur,,2020-09-14,Amateur Foundation Radio Licence
M6KML,Allocated,Call Sign - Amateur,,2012-04-09,Amateur Foundation Radio Licence
M0LVV,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Full Radio Licence
M6EFG,Allocated,Call Sign - Amateur,,2012-04-09,Amateur Foundation Radio Licence
M7NCZ,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Foundation Radio Licence
M6BQB,Allocated,Call Sign - Amateur,,2012-04-10,Amateur Foundation Radio Licence
20GFV,Allocated,Call Sign - Amateur,,2020-10-16,Amateur Intermediate Radio Licence
M6BQC,Allocated,Call Sign - Amateur,,2012-04-10,Amateur Foundation Radio Licence
G5HWB,Allocated,Call Sign - Amateur,,2021-01-28,Amateur Full Radio Licence
M6BQD,Allocated,Call Sign - Amateur,,2012-04-10,Amateur Foundation Radio Licence
M0JIH,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Full Radio Licence
M6DSN,Reserved,Call Sign - Amateur,,,
20SPE,Allocated,Call Sign - Amateur,,2020-09-16,Amateur Intermediate Radio Licence
M6ERW,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M7STZ,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Foundation Radio Licence
M6BQE,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M7MUR,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Foundation Radio Licence
M6CKH,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M0SVX,Allocated,Call Sign - Amateur,,2020-12-16,Amateur Full Radio Licence
M6LGN,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M5KDX,Reserved,Call Sign - Amateur,2021-11-09,,
M6NAO,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M7GCA,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M3CVO,Allocated,Call Sign - Amateur,,2007-05-23,Amateur Foundation Radio Licence
M7LZE,Allocated,Call Sign - Amateur,,2020-10-05,Amateur Foundation Radio Licence
M6EGV,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
20UZA,Allocated,Call Sign - Amateur,,2019-03-13,Amateur Intermediate Radio Licence
M6DKJ,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
M7NDW,Allocated,Call Sign - Amateur,,2020-10-05,Amateur Foundation Radio Licence
M6GRW,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
20RVC,Allocated,Call Sign - Amateur,,2019-07-09,Amateur Intermediate Radio Licence
M6BQF,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
G3PSB,Allocated,Call Sign - Amateur,,2019-09-17,Amateur Full Radio Licence
M6PQY,Allocated,Call Sign - Amateur,,2012-04-11,Amateur Foundation Radio Licence
21PDH,Allocated,Call Sign - Amateur,,2020-11-09,Amateur Intermediate Radio Licence
M6DGP,Allocated,Call Sign - Amateur,,2012-04-12,Amateur Foundation Radio Licence
M7MUZ,Available,Call Sign - Amateur,,,
M6WAX,Allocated,Call Sign - Amateur,,2012-04-12,Amateur Foundation Radio Licence
M0VXN,Allocated,Call Sign - Amateur,,2021-01-11,Amateur Full Radio Licence
M6GDB,Allocated,Call Sign - Amateur,,2012-04-12,Amateur Foundation Radio Licence
M7PMM,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6BQG,Allocated,Call Sign - Amateur,,2012-04-13,Amateur Foundation Radio Licence
M7GCW,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6FNM,Allocated,Call Sign - Amateur,,2012-04-14,Amateur Foundation Radio Licence
20VLO,Allocated,Call Sign - Amateur,,2019-07-16,Amateur Intermediate Radio Licence
M6MKK,Allocated,Call Sign - Amateur,,2012-04-15,Amateur Foundation Radio Licence
M7NUT,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6TGH,Allocated,Call Sign - Amateur,,2012-04-16,Amateur Foundation Radio Licence
M7WSP,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Foundation Radio Licence
M6WKL,Allocated,Call Sign - Amateur,,2012-04-16,Amateur Foundation Radio Licence
20LQZ,Allocated,Call Sign - Amateur,,2020-08-26,Amateur Intermediate Radio Licence
M6III,Allocated,Call Sign - Amateur,,2012-04-16,Amateur Foundation Radio Licence
G4HLU,Allocated,Call Sign - Amateur,,2020-04-29,Amateur Full Radio Licence
M6DCU,Allocated,Call Sign - Amateur,,2012-09-04,Amateur Foundation Radio Licence
20GKN,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Intermediate Radio Licence
M3UDV,Allocated,Call Sign - Amateur,,2007-06-05,Amateur Foundation Radio Licence
20GKX,Available,Call Sign - Amateur,,,
M6DCQ,Allocated,Call Sign - Amateur,,2012-09-04,Amateur Foundation Radio Licence
20UPS,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Intermediate Radio Licence
M6DYB,Allocated,Call Sign - Amateur,,2012-09-05,Amateur Foundation Radio Licence
20OCO,Allocated,Call Sign - Amateur,,2019-06-18,Amateur Intermediate Radio Licence
M6NKP,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
20XBB,Allocated,Call Sign - Amateur,,2019-08-06,Amateur Intermediate Radio Licence
M6BYH,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
M0YSE,Allocated,Call Sign - Amateur,,2019-07-09,Amateur Full Radio Licence
M6LRR,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
M7TSB,Allocated,Call Sign - Amateur,,2020-05-18,Amateur Foundation Radio Licence
M6PBH,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
20MTK,Allocated,Call Sign - Amateur,,2019-08-06,Amateur Intermediate Radio Licence
M6XED,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
M7CDA,Allocated,Call Sign - Amateur,,2019-07-10,Amateur Foundation Radio Licence
M6BYI,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
20FMZ,Allocated,Call Sign - Amateur,,2019-08-06,Amateur Intermediate Radio Licence
M6RGF,Allocated,Call Sign - Amateur,,2012-09-06,Amateur Foundation Radio Licence
20TXH,Allocated,Call Sign - Amateur,,2019-08-06,Amateur Intermediate Radio Licence
M6JTO,Allocated,Call Sign - Amateur,,2012-09-09,Amateur Foundation Radio Licence
M7TLM,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Foundation Radio Licence
M6KVF,Allocated,Call Sign - Amateur,,2012-09-09,Amateur Foundation Radio Licence
M7MKT,Allocated,Call Sign - Amateur,,2020-08-07,Amateur Foundation Radio Licence
M6TVV,Allocated,Call Sign - Amateur,,2012-09-09,Amateur Foundation Radio Licence
G5LOW,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Club Radio Licence
M6HEE,Allocated,Call Sign - Amateur,,2012-09-09,Amateur Foundation Radio Licence
M7WIS,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Foundation Radio Licence
M6LZP,Allocated,Call Sign - Amateur,,2012-09-09,Amateur Foundation Radio Licence
G2RE,Allocated,Call Sign - Amateur,,2019-07-31,Amateur Full Radio Licence
M6HAP,Allocated,Call Sign - Amateur,,2012-09-10,Amateur Foundation Radio Licence
M7RTF,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M3UDZ,Allocated,Call Sign - Amateur,,2007-06-05,Amateur Foundation Radio Licence
20IWS,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Intermediate Radio Licence
M6RRM,Allocated,Call Sign - Amateur,,2012-09-10,Amateur Foundation Radio Licence
M7KVX,Allocated,Call Sign - Amateur,,2020-09-28,Amateur Foundation Radio Licence
M6JBY,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
M7GHG,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M3UHO,Allocated,Call Sign - Amateur,,2007-06-05,Amateur Foundation Radio Licence
M7AWK,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M6CAJ,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
M7APA,Allocated,Call Sign - Amateur,,2020-04-29,Amateur Foundation Radio Licence
M6GWF,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
20FVX,Allocated,Call Sign - Amateur,,2020-08-26,Amateur Intermediate Radio Licence
M6JSR,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
M7XBS,Allocated,Call Sign - Amateur,,2020-07-17,Amateur Foundation Radio Licence
M6XOR,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
20NOG,Allocated,Call Sign - Amateur,,2019-03-13,Amateur Intermediate Radio Licence
M6BYJ,Allocated,Call Sign - Amateur,,2012-09-11,Amateur Foundation Radio Licence
20OLA,Allocated,Call Sign - Amateur,,2019-03-13,Amateur Intermediate Radio Licence
M6JDV,Reserved,Call Sign - Amateur,,,
20MHT,Allocated,Call Sign - Amateur,,2019-03-13,Amateur Intermediate Radio Licence
M6MWR,Allocated,Call Sign - Amateur,,2012-09-12,Amateur Foundation Radio Licence
M7NIB,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Foundation Radio Licence
M6YMN,Allocated,Call Sign - Amateur,,2012-09-12,Amateur Foundation Radio Licence
M7UWU,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Foundation Radio Licence
M3UPN,Allocated,Call Sign - Amateur,,2007-06-05,Amateur Foundation Radio Licence
20WEM,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Intermediate Radio Licence
M6TMN,Allocated,Call Sign - Amateur,,2012-09-12,Amateur Foundation Radio Licence
20GGH,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Intermediate Radio Licence
M6KMI,Allocated,Call Sign - Amateur,,2012-09-13,Amateur Foundation Radio Licence
20NVH,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Intermediate Radio Licence
M6RCG,Allocated,Call Sign - Amateur,,2012-09-13,Amateur Foundation Radio Licence
M7IAO,Allocated,Call Sign - Amateur,,2018-11-27,Amateur Foundation Radio Licence
