callsign,status,licence_class,created_date,last_modified_date,reserved_to_date,licence_cancel_date
20AQS,Reserved,,2016-08-12,2016-08-12,,
20AQT,Reserved,,2016-08-12,2016-08-12,,
20AQV,Reserved,,2016-08-12,2016-08-12,,
20AQW,Reserved,,2016-08-12,2016-08-12,,
20AQX,Reserved,,2016-08-12,2016-08-12,,
20AQY,Reserved,,2016-08-12,2016-08-12,,
20AQZ,Reserved,,2016-08-12,2016-08-12,,
20ARB,Reserved,,2016-08-02,2016-08-12,,
20ARC,Reserved,,2016-08-12,2016-08-12,,
20ARD,Reserved,,2016-08-12,2016-08-12,,
20ARF,Reserved,,2016-08-12,2016-08-12,,
20ARG,Reserved,,2016-08-12,2016-08-12,,
20ARH,Reserved,,2016-08-12,2016-08-12,,
20ARK,Reserved,,2016-08-12,2016-08-12,,
20ARL,Reserved,,2016-08-12,2016-08-12,,
20ARM,Reserved,,2016-08-12,2016-08-12,,
20ARN,Reserved,,2016-08-12,2016-08-12,,
20ARP,Reserved,,2016-08-12,2016-08-12,,
20ARQ,Reserved,,2016-08-12,2016-08-12,,
20ARR,Reserved,,2016-08-12,2016-08-12,,
20ARS,Reserved,,2016-08-12,2016-08-12,,
20ART,Reserved,,2016-08-12,2016-08-12,,
20ARU,Reserved,,2016-08-12,2016-08-12,,
20ARX,Reserved,,2016-08-12,2016-08-12,,
20ARY,Reserved,,2016-08-12,2016-08-12,,
20ARZ,Reserved,,2016-08-12,2016-08-12,,
20ASA,Reserved,,2016-08-12,2016-08-12,,
20ASB,Reserved,,2016-08-02,2016-08-12,,
20ASC,Reserved,,2016-08-12,2016-08-12,,
20ASD,Reserved,,2016-08-12,2016-08-12,,
20ASE,Reserved,,2016-08-12,2016-08-12,,
20ASF,Reserved,,2016-08-12,2016-08-12,,
20ASG,Reserved,,2016-08-02,2016-08-12,,
20ASH,Reserved,,2016-08-12,2016-08-12,,
20ASI,Reserved,,2016-08-12,2016-08-12,,
20ASK,Reserved,,2016-08-12,2016-08-12,,
20ASL,Reserved,,2016-08-12,2016-08-12,,
20ASM,Reserved,,2016-08-12,2016-08-12,,
20ASN,Reserved,,2016-08-12,2016-08-12,,
20ASO,Reserved,,2016-08-12,2016-08-12,,
20ASP,Reserved,,2016-08-12,2016-08-12,,
20ASQ,Reserved,,2016-08-12,2016-08-12,,
20ASR,Reserved,,2016-08-12,2016-08-12,,
20AST,Reserved,,2016-08-12,2016-08-12,,
20ASV,Reserved,,2016-08-02,2016-08-02,,
20ASY,Reserved,,2016-08-12,2016-08-12,,
20ASZ,Reserved,,2016-08-12,2016-08-12,,
20ATA,Reserved,,2016-08-12,2016-08-12,,
20ATC,Reserved,,2016-08-12,2016-08-12,,
20ATD,Reserved,,2016-08-12,2016-08-12,,
20ATE,Reserved,,2016-08-12,2016-08-12,,
20ATG,Reserved,,2016-08-12,2016-08-12,,
20ATH,Reserved,,2016-08-12,2016-08-12,,
20ATI,Reserved,,2016-08-12,2016-08-12,,
20ATJ,Reserved,,2016-08-12,2016-08-12,,
20ATK,Reserved,,2016-08-12,2016-08-12,,
20ATL,Reserved,,2016-08-12,2016-08-12,,
20ATM,Reserved,,2016-08-12,2016-08-12,,
20ATN,Reserved,,2016-08-12,2016-08-12,,
20ATO,Reserved,,2016-07-23,2016-08-12,,1999-06-21
20ATP,Reserved,,2016-08-12,2016-08-12,,
20ATQ,Reserved,,2016-08-12,2016-08-12,,
20ATR,Reserved,,2016-08-12,2016-08-12,,
20ATS,Reserved,,2016-08-12,2016-08-12,,
20ATU,Reserved,,2016-08-12,2016-08-12,,
20ATV,Reserved,,2016-08-02,2016-08-12,,
20ATW,Reserved,,2016-08-12,2016-08-12,,
20ATX,Reserved,,2016-08-12,2016-08-12,,
20AUA,Reserved,,2016-08-12,2016-08-12,,
20AUB,Reserved,,2016-08-12,2016-08-12,,
20AUD,Reserved,,2016-08-12,2016-08-12,,
20AUE,Reserved,,2016-08-12,2016-08-12,,
20AUF,Reserved,,2016-08-12,2016-08-17,,
20AUJ,Reserved,,2016-08-12,2016-08-12,,
20AUK,Reserved,,2016-08-12,2016-08-12,,
20AUL,Reserved,,2016-08-12,2016-08-12,,
20AUN,Reserved,,2016-08-12,2016-08-12,,
20AUO,Reserved,,2016-08-12,2016-08-12,,
20AUP,Reserved,,2016-08-12,2016-08-12,,
20AUQ,Reserved,,2016-08-12,2016-08-12,,
20AUR,Reserved,,2016-08-12,2016-08-12,,
20AUS,Reserved,,2016-08-12,2016-08-12,,
20AUW,Reserved,,2016-08-12,2016-08-12,,
20AUX,Reserved,,2016-08-12,2016-08-12,,
20AUY,Reserved,,2016-08-12,2016-08-12,,
20AUZ,Reserved,,2016-08-12,2016-08-12,,
20AVC,Reserved,,2016-08-12,2016-08-12,,
20AVE,Reserved,,2016-08-12,2016-08-12,,
20AVF,Reserved,,2016-08-12,2016-08-12,,
20AVG,Reserved,,2016-08-02,2016-08-12,,
20AVH,Reserved,,2016-08-12,2016-08-12,,
20AVI,Reserved,,2016-08-12,2016-08-12,,
20AVJ,Reserved,,2016-08-12,2016-08-12,,
20AVL,Reserved,,2016-07-23,2020-04-21,,2002-01-15
20AVM,Reserved,,2016-08-12,2016-08-12,,
20AVN,Reserved,,2016-08-12,2016-08-12,,
20AVO,Reserved,,2016-08-12,2016-08-12,,
20AVR,Reserved,,2016-08-02,2016-08-02,,
20AVT,Reserved,,2016-08-12,2016-08-12,,
20AVU,Reserved,,2016-08-12,2016-08-12,,
20AVV,Reserved,,2016-08-02,2016-08-12,,
20AVX,Reserved,,2016-08-12,2016-08-12,,
20AVY,Reserved,,2016-08-12,2016-08-12,,
20AWB,Reserved,,2016-08-12,2016-08-12,,
20AWD,Reserved,,2016-08-12,2016-08-12,,
20AWH,Reserved,,2016-08-12,2016-08-12,,
20AWJ,Reserved,,2016-08-12,2016-08-12,,
