Value,Status,Type,Call Sign MMSI: Created Date,Call Sign MMSI: Last Modified Date,Reserved to Date,Licence Cancel Date
M7CBC,Available,Call Sign - Amateur,2020-06-24,2020-07-25,,
M7CBD,Available,Call Sign - Amateur,2020-06-26,2020-07-27,,
M7DCG,Available,Call Sign - Amateur,2020-08-22,2020-08-22,,
M7DRU,Available,Call Sign - Amateur,2018-11-14,2020-08-04,,
M7DWN,Available,Call Sign - Amateur,2020-08-08,2020-09-08,,
M7FYI,Available,Call Sign - Amateur,2020-06-05,2020-07-06,,
M7GLF,Available,Call Sign - Amateur,2019-09-20,2020-06-03,,
M7GLR,Available,Call Sign - Amateur,2019-06-10,2019-06-10,,
M7GMW,Available,Call Sign - Amateur,2019-07-19,2020-09-12,,
M7GRC,Available,Call Sign - Amateur,2020-10-06,2020-10-06,,
M7HVL,Available,Call Sign - Amateur,2020-06-24,2020-06-24,,
M7IG,Available,Call Sign - Amateur,2019-09-09,2019-09-09,,
M7JCT,Available,Call Sign - Amateur,2020-10-23,2020-10-23,,
M7JGH,Available,Call Sign - Amateur,2019-02-13,2020-06-18,,
M7JHM,Available,Call Sign - Amateur,2019-05-01,2020-06-26,,
M7JMA,Available,Call Sign - Amateur,2020-07-08,2020-08-08,,
M7KTI,Available,Call Sign - Amateur,2019-01-28,2020-05-15,,
M7LMP,Available,Call Sign - Amateur,2019-06-10,2020-02-01,,
M7LPS,Available,Call Sign - Amateur,2019-06-10,2019-06-10,,
M7LSA,Available,Call Sign - Amateur,2019-06-10,2019-06-10,,
M7LSK,Available,Call Sign - Amateur,2020-06-30,2020-06-30,,
M7MEP,Available,Call Sign - Amateur,2019-05-20,2019-06-20,,
M7MJW,Available,Call Sign - Amateur,2020-07-22,2020-08-22,,
M7NDM,Available,Call Sign - Amateur,2019-07-09,2019-08-09,,
M7NLS,Available,Call Sign - Amateur,2020-05-14,2020-05-14,,
M7PED,Available,Call Sign - Amateur,2020-10-03,2020-10-05,,
M7PMS,Available,Call Sign - Amateur,2018-12-16,2019-06-09,,
M7PPF,Available,Call Sign - Amateur,2020-09-28,2020-09-28,,
M7PTC,Available,Call Sign - Amateur,2020-07-09,2020-07-09,,
M7PXH,Available,Call Sign - Amateur,2020-06-24,2020-06-24,,
M7REY,Available,Call Sign - Amateur,2020-05-22,2020-05-24,,
M7RKM,Available,Call Sign - Amateur,2020-04-23,2020-07-24,,
M7TVC,Available,Call Sign - Amateur,2020-07-07,2020-08-07,,
M7WJQ,Available,Call Sign - Amateur,2018-11-28,2018-12-29,,
M7XPC,Available,Call Sign - Amateur,2019-08-26,2019-08-27,,
MOGCQ,Available,Call Sign - Amateur,2019-11-29,2019-11-29,,
G0WIH,Reserved,Call Sign - Amateur,2016-07-23,2018-10-31,2020-10-31,
G7RIH,Reserved,Call Sign - Amateur,2016-07-23,2018-10-31,2020-10-31,
M7YBB,Reserved,Call Sign - Amateur,2020-10-05,2020-10-05,2020-11-04,
M0YTN,Reserved,Call Sign - Amateur,2019-12-28,2020-10-07,2020-11-06,
20PPT,Reserved,Call Sign - Amateur,2020-10-09,2020-10-09,2020-11-08,
M7LIT,Reserved,Call Sign - Amateur,2020-10-09,2020-10-09,2020-11-08,
M7THA,Reserved,Call Sign - Amateur,2020-10-12,2020-10-12,2020-11-11,
