Country,Current Series,Reference,Value,Type,Product,Status,Allocated Flag,Call Sign Application #,MMSI Application #
M,0,IQY,M0IQY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IQZ,M0IQZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRB,M0IRB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRF,M0IRF,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRG,M0IRG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRH,M0IRH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRO,M0IRO,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRR,M0IRR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRU,M0IRU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRV,M0IRV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRW,M0IRW,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRX,M0IRX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,IRY,M0IRY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISA,M0ISA,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISB,M0ISB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISC,M0ISC,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISE,M0ISE,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISG,M0ISG,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISH,M0ISH,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISI,M0ISI,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISJ,M0ISJ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISK,M0ISK,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISR,M0ISR,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISU,M0ISU,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISV,M0ISV,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISX,M0ISX,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISY,M0ISY,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ISZ,M0ISZ,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ITB,M0ITB,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ITD,M0ITD,Call Sign,Amateur Full Radio Licence,Available,N,,
M,0,ITG,M0ITG,Call Sign,Amateur Full Radio Licence,Available,N,,
