callsign,cleaned,parse_status,prefix_series,rsl,suffix,placeholder_form,home_callsign,implied_class,flags
20ANR,20ANR,parsed,20,,ANR,2#0ANR,,Intermediate,
20ANS,20ANS,parsed,20,,ANS,2#0ANS,,Intermediate,
20ANT,20ANT,parsed,20,,ANT,2#0ANT,,Intermediate,
20ANU,20ANU,parsed,20,,ANU,2#0ANU,,Intermediate,
20ANV,20ANV,parsed,20,,ANV,2#0ANV,,Intermediate,
20ANW,20ANW,parsed,20,,ANW,2#0ANW,,Intermediate,
20ANX,20ANX,parsed,20,,ANX,2#0ANX,,Intermediate,
20ANY,20ANY,parsed,20,,ANY,2#0ANY,,Intermediate,
20AOA,20AOA,parsed,20,,AOA,2#0AOA,,Intermediate,
20AOB,20AOB,parsed,20,,AOB,2#0AOB,,Intermediate,
20AOC,20AOC,parsed,20,,AOC,2#0AOC,,Intermediate,
20AOD,20AOD,parsed,20,,AOD,2#0AOD,,Intermediate,
20AOE,20AOE,parsed,20,,AOE,2#0AOE,,Intermediate,
20AOF,20AOF,parsed,20,,AOF,2#0AOF,,Intermediate,
20AOG,20AOG,parsed,20,,AOG,2#0AOG,,Intermediate,
20AOH,20AOH,parsed,20,,AOH,2#0AOH,,Intermediate,
20AOI,20AOI,parsed,20,,AOI,2#0AOI,,Intermediate,
20AOJ,20AOJ,parsed,20,,AOJ,2#0AOJ,,Intermediate,
20AOK,20AOK,parsed,20,,AOK,2#0AOK,,Intermediate,
20AOL,20AOL,parsed,20,,AOL,2#0AOL,,Intermediate,
20AOM,20AOM,parsed,20,,AOM,2#0AOM,,Intermediate,
20AON,20AON,parsed,20,,AON,2#0AON,,Intermediate,
20AOO,20AOO,parsed,20,,AOO,2#0AOO,,Intermediate,
20AOP,20AOP,parsed,20,,AOP,2#0AOP,,Intermediate,
20AOQ,20AOQ,parsed,20,,AOQ,2#0AOQ,,Intermediate,
20AOR,20AOR,parsed,20,,AOR,2#0AOR,,Intermediate,
20AOS,20AOS,parsed,20,,AOS,2#0AOS,,Intermediate,
20AOT,20AOT,parsed,20,,AOT,2#0AOT,,Intermediate,
20AOU,20AOU,parsed,20,,AOU,2#0AOU,,Intermediate,
20AOV,20AOV,parsed,20,,AOV,2#0AOV,,Intermediate,
20AOW,20AOW,parsed,20,,AOW,2#0AOW,,Intermediate,
20AOX,20AOX,parsed,20,,AOX,2#0AOX,,Intermediate,
20AOY,20AOY,parsed,20,,AOY,2#0AOY,,Intermediate,
20AOZ,20AOZ,parsed,20,,AOZ,2#0AOZ,,Intermediate,
20APA,20APA,parsed,20,,APA,2#0APA,,Intermediate,
20APB,20APB,parsed,20,,APB,2#0APB,,Intermediate,
20APC,20APC,parsed,20,,APC,2#0APC,,Intermediate,
20APD,20APD,parsed,20,,APD,2#0APD,,Intermediate,
