callsign,status,licence_class
20AVG,Reserved,
20AVH,Reserved,
20AVI,Reserved,
20AVJ,Reserved,
20AVK,Allocated,
20AVL,Reserved,
20AVM,Reserved,
20AVN,Reserved,
20AVO,Reserved,
20AVP,Reserved,
20AVQ,Allocated,
20AVR,Reserved,
20AVS,Allocated,
20AVT,Reserved,
20AVU,Reserved,
20AVV,Reserved,
20AVW,Allocated,
20AVX,Reserved,
20AVY,Reserved,
20AVZ,Allocated,
20AWA,Allocated,
20AWB,Reserved,
20AWC,Allocated,
20AWD,Reserved,
20AWE,Allocated,
20AWF,Allocated,
20AWG,Allocated,
20AWH,Reserved,
20AWI,Allocated,
20AWJ,Reserved,
20AWK,Allocated,
20AWL,Allocated,
20AWM,Allocated,
20AWN,Reserved,
20AWO,Allocated,
20AWP,Allocated,
20AWQ,Reserved,
20AWR,Allocated,
20AWS,Allocated,
20AWT,Allocated,
20AWU,Reserved,
20AWV,Reserved,
20AWW,Allocated,
20AWX,Reserved,
20AWY,Allocated,
20AWZ,Allocated,
20AXA,Allocated,
20AXB,Allocated,
20AXC,Reserved,
20AXD,Reserved,
20AXE,Reserved,
20AXF,Reserved,
20AXG,Reserved,
20AXH,Reserved,
20AXI,Reserved,
20AXJ,Reserved,
20AXK,Reserved,
20AXL,Reserved,
20AXM,Reserved,
20AXN,Allocated,
20AXO,Reserved,
20AXP,Reserved,
20AXQ,Reserved,
20AXR,Reserved,
20AXS,Reserved,
20AXT,Allocated,
20AXU,Reserved,
20AXV,Reserved,
20AXW,Reserved,
20AXX,Allocated,
20AXY,Reserved,
20AXZ,Allocated,
20AYA,Allocated,
20AYB,Reserved,
20AYC,Reserved,
20AYD,Allocated,
20AYE,Reserved,
20AYF,Reserved,
20AYG,Reserved,
20AYH,Reserved,
20AYI,Allocated,
20AYJ,Reserved,
20AYK,Allocated,
20AYL,Reserved,
20AYM,Reserved,
20AYN,Reserved,
20AYO,Reserved,
20AYP,Reserved,
20AYQ,Allocated,
20AYR,Allocated,
20AYS,Reserved,
20AYT,Allocated,
20AYU,Allocated,
20AYV,Reserved,
20AYW,Allocated,
20AYX,Allocated,
20AYY,Allocated,
20AYZ,Allocated,
20AZA,Allocated,
20AZB,Allocated,
20AZC,Allocated,
20AZD,Allocated,
20AZE,Reserved,
20AZF,Allocated,
20AZG,Reserved,
20AZH,Reserved,
20AZI,Reserved,
20AZJ,Allocated,
20AZK,Allocated,
20AZL,Allocated,
20AZM,Allocated,
20AZN,Allocated,
20AZO,Reserved,
20AZP,Allocated,
20AZQ,Allocated,
20AZR,Reserved,
20AZS,Allocated,
20AZT,Allocated,
20AZU,Allocated,
20AZV,Allocated,
20AZW,Allocated,
20AZX,Reserved,
20AZY,Reserved,
20AZZ,Allocated,
20BAA,Reserved,
20BAB,Allocated,
20BAC,Allocated,
20BAD,Allocated,
20BAE,Allocated,
20BAF,Allocated,
20BAG,Reserved,
20BAH,Allocated,
20BAI,Reserved,
20BAJ,Allocated,
20BAK,Allocated,
20BAL,Reserved,
20BAM,Reserved,
20BAN,Reserved,
20BAO,Allocated,
20BAP,Allocated,
20BAQ,Reserved,
20BAR,Reserved,
20BAS,Allocated,
20BAT,Reserved,
20BAU,Allocated,
20BAV,Allocated,
20BAW,Allocated,
20BAX,Allocated,
20BAY,Allocated,
20BAZ,Reserved,
20BBA,Allocated,
20BBB,Allocated,
20BBC,Allocated,
20BBD,Allocated,
20BBE,Reserved,
20BBF,Reserved,
20BBG,Allocated,
20BBH,Reserved,
20BBI,Allocated,
20BBJ,Reserved,
20BBK,Reserved,
20BBL,Allocated,
20BBM,Allocated,
20BBN,Allocated,
20BBO,Allocated,
20BBP,Allocated,
20BBQ,Allocated,
20BBR,Reserved,
20BBS,Allocated,
20BBT,Allocated,
20BBU,Reserved,
20BBV,Allocated,
20BBW,Reserved,
20BBX,Allocated,
20BBY,Allocated,
20BBZ,Allocated,
20BCA,Allocated,
20BCB,Allocated,
20BCC,Reserved,
20BCD,Allocated,
20BCE,Allocated,
20BCF,Allocated,
20BCG,Allocated,
20BCH,Reserved,
20BCI,Allocated,
20BCJ,Allocated,
20BCK,Allocated,
20BCL,Allocated,
20BCM,Allocated,
20BCN,Allocated,
20BCO,Allocated,
20BCP,Allocated,
20BCQ,Allocated,
20BCR,Allocated,
20BCS,Allocated,
20BCT,Reserved,
20BCU,Allocated,
20BCV,Allocated,
20BCW,Allocated,
20BCX,Allocated,
20BCY,Allocated,
20BCZ,Reserved,
20BDA,Allocated,
20BDB,Allocated,
20BDC,Allocated,
20BDD,Allocated,
20BDE,Reserved,
20BDF,Allocated,
20BDG,Allocated,
20BDH,Reserved,
20BDI,Allocated,
20BDJ,Allocated,
20BDK,Reserved,
20BDL,Allocated,
20BDM,Reserved,
20BDN,Allocated,
20BDO,Allocated,
20BDP,Allocated,
20BDQ,Allocated,
20BDR,Allocated,
20BDS,Allocated,
20BDT,Allocated,
20BDU,Reserved,
20BDV,Allocated,
20BDW,Allocated,
20BDX,Allocated,
20BDY,Allocated,
20BDZ,Allocated,
20BEA,Allocated,
20BEB,Allocated,
20BEC,Allocated,
20BED,Allocated,
20BEE,Allocated,
20BEF,Allocated,
20BEG,Allocated,
20BEH,Allocated,
20BEI,Allocated,
20BEJ,Allocated,
20BEK,Allocated,
20BEL,Allocated,
20BEM,Reserved,
20BEN,Allocated,
20BEO,Reserved,
20BEP,Allocated,
20BEQ,Allocated,
20BER,Reserved,
20BES,Allocated,
20BET,Allocated,
20BEU,Allocated,
20BEV,Allocated,
20BEW,Allocated,
20BEX,Allocated,
20BEY,Allocated,
20BEZ,Allocated,
20BFA,Allocated,
20BFB,Allocated,
20BFC,Allocated,
20BFD,Allocated,
20BFE,Reserved,
20BFF,Allocated,
20BFG,Allocated,
20BFH,Allocated,
20BFI,Allocated,
20BFJ,Allocated,
20BFK,Reserved,
20BFL,Allocated,
20BFM,Allocated,
20BFN,Allocated,
20BFO,Reserved,
20BFP,Allocated,
20BFQ,Reserved,
20BFR,Allocated,
20BFS,Allocated,
20BFT,Allocated,
20BFU,Allocated,
20BFV,Allocated,
20BFW,Reserved,
20BFX,Allocated,
20BFY,Allocated,
20BFZ,Allocated,
20BGA,Allocated,
20BGB,Allocated,
20BGC,Allocated,
20BGD,Reserved,
20BGE,Allocated,
20BGF,Allocated,
20BGG,Allocated,
20BGH,Reserved,
20BGI,Allocated,
20BGJ,Allocated,
20BGK,Reserved,
20BGL,Allocated,
20BGM,Allocated,
20BGN,Reserved,
20BGO,Allocated,
20BGP,Allocated,
20BGQ,Allocated,
20BGR,Allocated,
20BGS,Allocated,
20BGT,Reserved,
20BGU,Reserved,
20BGV,Allocated,
20BGW,Reserved,
20BGX,Allocated,
20BGY,Reserved,
20BGZ,Allocated,
20BHA,Allocated,
20BHB,Allocated,
20BHC,Allocated,
20BHD,Reserved,
20BHE,Allocated,
20BHF,Reserved,
20BHG,Reserved,
20BHH,Allocated,
20BHI,Allocated,
20BHJ,Allocated,
20BHK,Allocated,
20BHL,Allocated,
20BHM,Allocated,
20BHN,Allocated,
20BHO,Allocated,
20BHP,Allocated,
20BHQ,Allocated,
20BHR,Allocated,
20BHS,Allocated,
20BHT,Allocated,
20BHU,Allocated,
20BHV,Allocated,
20BHW,Reserved,
20BHX,Allocated,
20BHY,Allocated,
20BHZ,Allocated,
20BIA,Reserved,
20BIB,Allocated,
20BIC,Allocated,
20BID,Allocated,
20BIE,Reserved,
20BIF,Allocated,
20BIH,Reserved,
20BII,Allocated,
20BIJ,Allocated,
20BIK,Reserved,
20BIL,Allocated,
20BIM,Allocated,
20BIN,Allocated,
20BIO,Allocated,
20BIP,Reserved,
20BIQ,Allocated,
20BIR,Allocated,
20BIS,Allocated,
20BIU,Allocated,
20BIV,Allocated,
20BIW,Reserved,
20BIX,Allocated,
20BIY,Allocated,
20BIZ,Allocated,
20BJA,Allocated,
20BJB,Allocated,
20BJC,Allocated,
20BJD,Allocated,
20BJE,Allocated,
20BJF,Reserved,
20BJG,Allocated,
20BJH,Reserved,
20BJI,Reserved,
20BJJ,Allocated,
20BJK,Allocated,
20BJL,Allocated,
