Value,Product,Status,Type,Call Sign MMSI: Last Modified Date
G0BXR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-06-07
G0BZZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-06-28
G0CDW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-03-11
G0CIQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-02-29
G0CNN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-05-20
G0CRT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-03-30
G0CVA,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-11-17
G0CXN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-02-09
G0CYN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-02-27
G0DEM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-07-30
G0DJF,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-04-06
G0DON,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-02-15
G0DPB,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-09-21
G0DRK,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-09-05
G0DVQ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-11-22
G0DX,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2021-10-22
G0DXH,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2023-02-21
G0EAR,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-01-16
G0EDU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-02-11
G0EEI,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-02-22
G0ELR,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2019-10-09
G0EMU,Amateur Club Radio Licence,Allocated,Call Sign - Amateur,2023-07-11
G0FEH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-07-16
G0FEY,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-02-22
G0FHH,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2018-12-10
G0FHW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-02-17
G0FNV,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2016-12-12
G0FOL,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-08-02
G0FOX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-11-06
G0FTN,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-01-15
G0FUZ,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-11-06
G0FVM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-04-21
G0FXM,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-01-31
G0GDX,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-03-01
G0GGW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-01-26
G0GMT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2020-12-15
G0GPT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2023-04-03
G0GQU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2017-08-14
G0GQW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-10-13
G0GRT,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2019-10-15
G0GSU,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2021-11-12
G0GTW,Amateur Full Radio Licence,Allocated,Call Sign - Amateur,2022-12-22
